Rank,Theme,Score (0-100),BG,FG,FG/BG Contrast,FG/BG SC-1.4.3/1.4.6 Level,Palette 0,P0 vs BG Contrast,P0 vs BG SC-1.4.3/1.4.6,Palette 1,P1 vs BG Contrast,P1 vs BG SC-1.4.3/1.4.6,Palette 2,P2 vs BG Contrast,P2 vs BG SC-1.4.3/1.4.6,Palette 3,P3 vs BG Contrast,P3 vs BG SC-1.4.3/1.4.6,Palette 4,P4 vs BG Contrast,P4 vs BG SC-1.4.3/1.4.6,Palette 5,P5 vs BG Contrast,P5 vs BG SC-1.4.3/1.4.6,Palette 6,P6 vs BG Contrast,P6 vs BG SC-1.4.3/1.4.6,Palette 7,P7 vs BG Contrast,P7 vs BG SC-1.4.3/1.4.6,Palette 8,P8 vs BG Contrast,P8 vs BG SC-1.4.3/1.4.6,Palette 9,P9 vs BG Contrast,P9 vs BG SC-1.4.3/1.4.6,Palette 10,P10 vs BG Contrast,P10 vs BG SC-1.4.3/1.4.6,Palette 11,P11 vs BG Contrast,P11 vs BG SC-1.4.3/1.4.6,Palette 12,P12 vs BG Contrast,P12 vs BG SC-1.4.3/1.4.6,Palette 13,P13 vs BG Contrast,P13 vs BG SC-1.4.3/1.4.6,Palette 14,P14 vs BG Contrast,P14 vs BG SC-1.4.3/1.4.6,Palette 15,P15 vs BG Contrast,P15 vs BG SC-1.4.3/1.4.6,Palette SC-1.4.3 AA Normal (>=4.5:1),Palette SC-1.4.3 AA Large (>=3:1),Palette SC-1.4.6 AAA Normal (>=7:1),Palette SC-1.4.6 AAA Large (>=4.5:1),Cursor Color,Cursor vs BG Contrast,Cursor vs BG SC-1.4.11 (>=3:1),Cursor Text Color,CursorTxt vs Cursor Contrast,CursorTxt vs Cursor SC-1.4.3/1.4.6,Selection BG,Selection FG,SelFG vs SelBG Contrast,SelFG vs SelBG SC-1.4.3/1.4.6,SelBG vs BG Contrast,SelBG vs BG SC-1.4.11 (>=3:1),Blue Light Index,Color Temperature (K),Palette Min DeltaE,Palette Hue StdDev (deg),APCA FG/BG (Lc),APCA Palette Body (|Lc|>=75),APCA Palette Large (|Lc|>=60)
111,Desert,60,#333333,#FFFFFF,12.63:1,AAA,#4D4D4D,1.49:1,Fail,#FF2B2B,3.39:1,AA-Large,#98FB98,9.98:1,AAA,#F0E68C,9.87:1,AAA,#CD853F,4.23:1,AA-Large,#FFDEAD,9.81:1,AAA,#FFA0A0,6.49:1,AA,#F5DEB3,9.62:1,AAA,#626262,2.07:1,Fail,#FF5555,4.02:1,AA-Large,#55FF55,9.52:1,AAA,#FFFF55,11.84:1,AAA,#87CEFF,7.40:1,AAA,#FF55FF,4.81:1,AA,#FFD700,9.01:1,AAA,#FFFFFF,12.63:1,AAA,11/16,14/16,9/16,11/16,#00FF00,9.21:1,Pass,#000000,15.30:1,AAA,#B5D5FF,#000000,13.93:1,AAA,8.38:1,Pass,0.333,6503,5.27,65.74,-102.0,8/16,9/16
112,Material Design Colors,60,#1D262A,#E7EBED,12.84:1,AAA,#435B67,2.15:1,Fail,#FC3841,4.24:1,AA-Large,#5CF19E,10.66:1,AAA,#FED032,10.48:1,AAA,#37B6FF,6.82:1,AA,#FC226E,4.10:1,AA-Large,#59FFD1,12.22:1,AAA,#FFFFFF,15.41:1,AAA,#A1B0B8,6.91:1,AA,#FC746D,5.77:1,AA,#ADF7BE,12.34:1,AAA,#FEE16C,11.89:1,AAA,#70CFFF,8.85:1,AAA,#FC669B,5.51:1,AA,#9AFFE6,13.08:1,AAA,#FFFFFF,15.41:1,AAA,13/16,15/16,9/16,13/16,#EAEAEA,12.81:1,Pass,#000000,17.46:1,AAA,#4E6A78,#E7EBED,4.79:1,AA,2.68:1,Fail,0.422,9527,0.00,96.26,-91.5,8/16,9/16
113,GitHub Light Default,60,#FFFFFF,#1F2328,15.80:1,AAA,#24292F,14.65:1,AAA,#CF222E,5.36:1,AA,#116329,7.39:1,AAA,#4D2D00,12.42:1,AAA,#0969DA,5.19:1,AA,#8250DF,5.05:1,AA,#1B7C83,4.93:1,AA,#6E7781,4.55:1,AA,#57606A,6.39:1,AA,#A40E26,7.87:1,AAA,#1A7F37,5.08:1,AA,#633C01,9.64:1,AAA,#218BFF,3.39:1,AA-Large,#A475F9,3.24:1,AA-Large,#3192AA,3.61:1,AA-Large,#8C959F,3.04:1,AA-Large,12/16,16/16,5/16,12/16,#0969DA,5.19:1,Pass,#3C9CFF,1.83:1,Fail,#1F2328,#FFFFFF,15.80:1,AAA,15.80:1,Pass,0.333,6503,9.31,90.40,102.8,6/16,14/16
114,Deep,60,#090909,#CDCDCD,12.53:1,AAA,#000000,1.05:1,Fail,#D70005,3.69:1,AA-Large,#1CD915,10.42:1,AAA,#D9BD26,10.67:1,AAA,#5665FF,4.46:1,AA-Large,#B052DA,4.80:1,AA,#50D2DA,10.97:1,AAA,#E0E0E0,15.08:1,AAA,#535353,2.59:1,Fail,#FB0007,4.84:1,AA,#22FF18,14.59:1,AAA,#FEDC2B,14.68:1,AAA,#9FA9FF,9.10:1,AAA,#E09AFF,9.71:1,AAA,#8DF9FF,16.24:1,AAA,#FFFFFF,19.91:1,AAA,12/16,14/16,10/16,12/16,#D0D0D0,12.91:1,Pass,#151515,11.84:1,AAA,#780002,#ECECEC,9.88:1,AAA,1.71:1,Fail,0.333,6503,10.82,113.72,-76.2,5/16,9/16
115,Ayu,60,#0B0E14,#BFBDB6,10.27:1,AAA,#11151C,1.06:1,Fail,#EA6C73,6.34:1,AA,#7FD962,11.04:1,AAA,#F9AF4F,10.37:1,AAA,#53BDFA,9.22:1,AAA,#CDA1FA,9.27:1,AAA,#90E1C6,12.67:1,AAA,#C7C7C7,11.43:1,AAA,#686868,3.47:1,AA-Large,#F07178,6.75:1,AA,#AAD94C,11.72:1,AAA,#FFB454,10.95:1,AAA,#59C2FF,9.74:1,AAA,#D2A6FF,9.79:1,AAA,#95E6CB,13.30:1,AAA,#FFFFFF,19.32:1,AAA,14/16,15/16,12/16,14/16,#E6B450,10.13:1,Pass,#0B0E14,10.13:1,AAA,#409FFF,#0B0E14,7.01:1,AAA,7.01:1,Pass,0.475,12535,1.76,104.63,-66.5,3/16,12/16
116,Blue Matrix,60,#101116,#00A2FF,6.83:1,AA,#101116,1.00:1,Fail,#FF5680,6.19:1,AA,#00FF9C,14.17:1,AAA,#FFFC58,17.34:1,AAA,#00B0FF,7.77:1,AAA,#D57BFF,7.28:1,AAA,#76C1FF,9.73:1,AAA,#C7C7C7,11.15:1,AAA,#686868,3.38:1,AA-Large,#FF6E67,6.89:1,AA,#5FFA68,13.79:1,AAA,#FFFC67,17.39:1,AAA,#6871FF,4.84:1,AA,#D682EC,7.42:1,AAA,#60FDFF,15.26:1,AAA,#FFFFFF,18.85:1,AAA,14/16,15/16,11/16,14/16,#76FF9F,14.88:1,Pass,#A6A6A6,1.92:1,Fail,#C1DEFF,#000000,15.16:1,AAA,13.61:1,Pass,0.427,9478,5.85,113.12,-48.8,6/16,8/16
117,Monokai Pro Spectrum,60,#222222,#F7F1FF,14.38:1,AAA,#222222,1.00:1,Fail,#FC618D,5.48:1,AA,#7BD88F,9.14:1,AAA,#FCE566,12.53:1,AAA,#FD9353,7.18:1,AAA,#948AE3,5.31:1,AA,#5AD4E6,9.09:1,AAA,#F7F1FF,14.38:1,AAA,#69676C,2.85:1,Fail,#FC618D,5.48:1,AA,#7BD88F,9.14:1,AAA,#FCE566,12.53:1,AAA,#FD9353,7.18:1,AAA,#948AE3,5.31:1,AA,#5AD4E6,9.09:1,AAA,#F7F1FF,14.38:1,AAA,14/16,14/16,10/16,14/16,#BAB6C0,7.99:1,Pass,#FAF6FF,1.87:1,Fail,#525053,#F7F1FF,7.21:1,AAA,1.99:1,Fail,0.333,6503,0.00,126.99,-97.8,4/16,8/16
118,Atom,60,#161719,#C5C8C6,10.64:1,AAA,#000000,1.17:1,Fail,#FD5FF1,6.90:1,AA,#87C38A,8.72:1,AAA,#FFD7B1,13.33:1,AAA,#85BEFD,9.21:1,AAA,#B9B6FC,9.53:1,AAA,#85BEFD,9.21:1,AAA,#E0E0E0,13.59:1,AAA,#4C4C4C,2.09:1,Fail,#FD5FF1,6.90:1,AA,#94FA36,13.66:1,AAA,#F5FFA8,16.87:1,AAA,#96CBFE,10.48:1,AAA,#B9B6FC,9.53:1,AAA,#85BEFD,9.21:1,AAA,#E0E0E0,13.59:1,AAA,14/16,14/16,12/16,14/16,#D0D0D0,11.63:1,Pass,#151515,11.84:1,AAA,#444444,#C5C8C6,5.77:1,AA,1.84:1,Fail,0.369,7420,0.00,109.17,-71.8,5/16,12/16
119,Raycast Dark,60,#1A1A1A,#FFFFFF,17.40:1,AAA,#000000,1.21:1,Fail,#FF5360,5.52:1,AA,#59D499,9.37:1,AAA,#FFC531,11.01:1,AAA,#56C2FF,8.75:1,AAA,#CF2F98,3.74:1,AA-Large,#52EEE5,12.20:1,AAA,#FFFFFF,17.40:1,AAA,#4C4C4C,2.03:1,Fail,#FF6363,5.98:1,AA,#59D499,9.37:1,AAA,#FFC531,11.01:1,AAA,#56C2FF,8.75:1,AAA,#CF2F98,3.74:1,AA-Large,#52EEE5,12.20:1,AAA,#FFFFFF,17.40:1,AAA,12/16,14/16,10/16,12/16,#CCCCCC,10.84:1,Pass,#999999,1.77:1,Fail,#333333,#595959,1.80:1,Fail,1.38:1,Fail,0.333,6503,0.00,104.93,-106.5,6/16,10/16
120,Gruvbox Material,60,#1D2021,#D4BE98,9.07:1,AAA,#141617,1.11:1,Fail,#EA6926,5.11:1,AA,#C1D041,9.65:1,AAA,#EECF75,10.79:1,AAA,#6DA3EC,6.32:1,AA,#FD9BC1,8.30:1,AAA,#FE9D6E,8.01:1,AAA,#FFFFFF,16.40:1,AAA,#4C4C4C,1.91:1,Fail,#D3573B,4.06:1,AA-Large,#C1D041,9.65:1,AAA,#EECF75,10.79:1,AAA,#2C86FF,4.65:1,AA,#FD9BC1,8.30:1,AAA,#92A5DF,6.77:1,AA,#FFFFFF,16.40:1,AAA,13/16,14/16,9/16,13/16,#FFFFFF,16.40:1,Pass,#000000,21.00:1,AAA,#2B2C3F,#7CFB70,10.35:1,AAA,1.20:1,Fail,0.363,7380,0.00,101.96,-67.0,4/16,9/16
121,Cyberpunk,59,#332A57,#E5E5E5,10.36:1,AAA,#000000,1.61:1,Fail,#FF7092,4.96:1,AA,#00FBAC,9.56:1,AAA,#FFFA6A,11.89:1,AAA,#00BFFF,6.15:1,AA,#DF95FF,6.14:1,AA,#86CBFE,7.45:1,AAA,#FFFFFF,13.05:1,AAA,#595959,1.86:1,Fail,#FF8AA4,5.85:1,AA,#21F6BC,9.30:1,AAA,#FFF787,11.75:1,AAA,#1BCCFD,6.90:1,AA,#E6AEFE,7.36:1,AAA,#99D6FC,8.31:1,AAA,#FFFFFF,13.05:1,AAA,14/16,14/16,9/16,14/16,#21F6BC,9.30:1,Pass,#999999,2.03:1,Fail,#C1DEFF,#000000,15.16:1,AAA,9.42:1,Pass,0.629,25000,0.00,110.23,-85.6,6/16,10/16
122,Wombat,59,#171717,#DEDACF,12.84:1,AAA,#000000,1.17:1,Fail,#FF615A,6.07:1,AA,#B1E969,12.57:1,AAA,#EBD99C,12.75:1,AAA,#5DA9F6,7.23:1,AAA,#E86AFF,6.78:1,AA,#82FFF7,15.02:1,AAA,#DEDACF,12.84:1,AAA,#4A4A4A,2.02:1,Fail,#F58C80,7.64:1,AAA,#DDF88F,15.28:1,AAA,#EEE5B2,14.07:1,AAA,#A5C7FF,10.43:1,AAA,#DDAAFF,9.62:1,AAA,#B7FFF9,15.95:1,AAA,#FFFFFF,17.93:1,AAA,14/16,14/16,12/16,14/16,#BBBBBB,9.34:1,Pass,#FFFFFF,1.92:1,Fail,#453B39,#B6BBC0,5.60:1,AA,1.65:1,Fail,0.333,6503,7.62,105.40,-83.2,8/16,10/16
123,Borland,59,#0000A4,#FFFF4E,12.80:1,AAA,#4F4F4F,1.67:1,Fail,#FF6C60,4.93:1,AA,#A8FF60,11.16:1,AAA,#FFFFB6,13.17:1,AAA,#96CBFE,7.99:1,AAA,#FF73FD,5.94:1,AA,#C6C5FE,8.35:1,AAA,#EEEEEE,11.78:1,AAA,#7C7C7C,3.28:1,AA-Large,#FFB6B0,8.18:1,AAA,#CEFFAC,12.06:1,AAA,#FFFFCC,13.30:1,AAA,#B5DCFF,9.53:1,AAA,#FF9CFE,7.45:1,AAA,#DFDFFE,10.50:1,AAA,#FFFFFF,13.67:1,AAA,14/16,15/16,12/16,14/16,#FFA560,7.03:1,Pass,#FFFFFF,1.94:1,Fail,#A4A4A4,#0000A4,5.48:1,AA,5.48:1,Pass,1.000,1667,5.90,115.78,-96.1,8/16,12/16
124,Kanagawa Dragon,59,#181616,#C5C9C5,10.76:1,AAA,#0D0C0C,1.08:1,Fail,#C4746E,5.21:1,AA,#8A9A7B,6.00:1,AA,#C4B28A,8.65:1,AAA,#8BA4B0,6.90:1,AA,#A292A3,6.16:1,AA,#8EA4A2,6.85:1,AA,#C8C093,9.80:1,AAA,#A6A69C,7.34:1,AAA,#E46876,5.61:1,AA,#87A987,6.91:1,AA,#E6C384,10.73:1,AAA,#7FB4CA,7.97:1,AAA,#938AA9,5.53:1,AA,#7AA89F,6.81:1,AA,#C5C9C5,10.76:1,AAA,15/16,15/16,6/16,15/16,#C8C093,9.80:1,Pass,#181616,9.80:1,AAA,#C5C9C5,#181616,10.76:1,AAA,10.76:1,Pass,0.319,6011,6.29,95.00,-72.3,0/16,4/16
125,Ardoise,59,#1E1E1E,#EAEAEA,13.86:1,AAA,#2C2C2C,1.19:1,Fail,#D3322D,3.38:1,AA-Large,#588B35,4.10:1,AA-Large,#FCA93A,8.63:1,AAA,#2465C2,2.95:1,Fail,#7332B4,2.26:1,Fail,#64E1B8,10.32:1,AAA,#F7F7F7,15.56:1,AAA,#535353,2.17:1,Fail,#FA5852,5.23:1,AA,#8DC252,7.92:1,AAA,#FFEA51,13.61:1,AAA,#6AB5F8,7.60:1,AAA,#BE68CA,4.78:1,AA,#89FFDB,13.81:1,AAA,#FEFEFE,16.53:1,AAA,10/16,12/16,8/16,10/16,#F7F7F7,15.56:1,Pass,#000000,19.60:1,AAA,#46515E,#F1F3F5,7.26:1,AAA,2.06:1,Fail,0.333,6503,2.42,89.98,-92.4,4/16,6/16
126,Kanagawabones,59,#1F1F28,#DDD8BB,11.37:1,AAA,#1F1F28,1.00:1,Fail,#E46A78,5.16:1,AA,#98BC6D,7.59:1,AAA,#E5C283,9.63:1,AAA,#7EB3C9,7.14:1,AAA,#957FB8,4.67:1,AA,#7EB3C9,7.14:1,AAA,#DDD8BB,11.37:1,AAA,#49495E,1.87:1,Fail,#EC818C,6.29:1,AA,#9EC967,8.56:1,AAA,#F1C982,10.44:1,AAA,#7BC2DF,8.27:1,AAA,#A98FD2,5.87:1,AA,#7BC2DF,8.27:1,AAA,#A8A48D,6.51:1,AA,14/16,14/16,9/16,14/16,#E6E0C2,12.30:1,Pass,#1F1F28,12.30:1,AAA,#49473E,#DDD8BB,6.48:1,AA,1.75:1,Fail,0.436,9947,0.00,146.10,-80.3,2/16,6/16
127,GitLab Light,59,#FAFAFF,#303030,12.68:1,AAA,#303030,12.68:1,AAA,#A31700,7.53:1,AAA,#0A7F3D,4.90:1,AA,#AF551D,4.88:1,AA,#006CD8,4.88:1,AA,#583CAC,7.60:1,AAA,#00798A,4.92:1,AA,#303030,12.68:1,AAA,#303030,12.68:1,AAA,#A31700,7.53:1,AAA,#0A7F3D,4.90:1,AA,#AF551D,4.88:1,AA,#006CD8,4.88:1,AA,#583CAC,7.60:1,AAA,#00798A,4.92:1,AA,#303030,12.68:1,AAA,16/16,16/16,8/16,16/16,#303030,12.68:1,Pass,#565656,1.80:1,Fail,#AD95E9,#FAFAFF,2.45:1,Fail,2.45:1,Fail,0.343,6707,0.00,107.33,96.8,8/16,16/16
128,Retro Legends,59,#0D0D0D,#45EB45,12.24:1,AAA,#262626,1.28:1,Fail,#DE5454,5.09:1,AA,#45EB45,12.24:1,AAA,#F7BF2B,11.52:1,AAA,#4066F2,4.07:1,AA-Large,#BF4CF2,5.12:1,AA,#40D9E6,11.37:1,AAA,#BFE6BF,14.15:1,AAA,#4C594C,2.63:1,Fail,#FF6666,6.80:1,AA,#59FF59,14.69:1,AAA,#FFD933,14.09:1,AAA,#4C80FF,5.40:1,AA,#E666FF,7.13:1,AAA,#59E6FF,13.13:1,AAA,#F2FFF2,18.84:1,AAA,13/16,14/16,9/16,13/16,#45EB45,12.24:1,Pass,#0D0D0D,12.24:1,AAA,#336633,#F2FFF2,6.59:1,AA,2.86:1,Fail,0.333,6503,6.75,102.21,-76.7,6/16,8/16
129,Fish Tank,59,#232537,#ECF0FE,13.27:1,AAA,#03073C,1.27:1,Fail,#C6004A,2.52:1,Fail,#ACF157,11.12:1,AAA,#FECD5E,10.14:1,AAA,#525FB8,2.65:1,Fail,#986F82,3.54:1,AA-Large,#968763,4.27:1,AA-Large,#ECF0FC,13.25:1,AAA,#6C5B30,2.28:1,Fail,#DA4B8A,3.85:1,AA-Large,#DBFFA9,13.58:1,AAA,#FEE6A9,12.30:1,AAA,#B2BEFA,8.37:1,AAA,#FDA5CD,8.22:1,AAA,#A5BD86,7.35:1,AAA,#F6FFEC,14.69:1,AAA,9/16,12/16,9/16,9/16,#FECD5E,10.14:1,Pass,#232537,10.14:1,AAA,#FCF7E9,#232537,14.10:1,AAA,14.10:1,Pass,0.520,18994,16.47,91.38,-95.0,6/16,8/16
130,Banana Blueberry,59,#191323,#CCCCCC,11.29:1,AAA,#17141F,1.00:1,Fail,#FF6B7F,6.61:1,AA,#00BD9C,7.56:1,AAA,#E6C62F,10.77:1,AAA,#22E8DF,11.80:1,AAA,#DC396A,4.17:1,AA-Large,#56B6C2,7.65:1,AAA,#F1F1F1,16.05:1,AAA,#495162,2.28:1,Fail,#FE9EA1,9.16:1,AAA,#98C379,8.99:1,AAA,#F9E46B,14.10:1,AAA,#91FFF4,15.37:1,AAA,#DA70D6,6.27:1,AA,#BCF3FF,15.02:1,AAA,#FFFFFF,18.12:1,AAA,13/16,14/16,11/16,13/16,#E07D13,6.14:1,Pass,#FFFFFF,2.95:1,Fail,#220525,#F4F4F4,17.10:1,AAA,1.04:1,Fail,0.509,20771,4.85,104.91,-74.7,6/16,9/16
131,Chalkboard,59,#29262F,#D9E6F2,11.72:1,AAA,#000000,1.41:1,Fail,#C37372,4.26:1,AA-Large,#72C373,6.92:1,AA,#C2C372,8.03:1,AAA,#7372C3,3.49:1,AA-Large,#C372C2,4.61:1,AA,#72C2C3,7.24:1,AAA,#D9D9D9,10.53:1,AAA,#585858,2.09:1,Fail,#DBAAAA,7.32:1,AAA,#AADBAA,9.50:1,AAA,#DADBAA,10.40:1,AAA,#AAAADB,6.71:1,AA,#DBAADA,7.63:1,AAA,#AADADB,9.74:1,AAA,#FFFFFF,14.87:1,AAA,12/16,14/16,9/16,12/16,#D9E6F2,11.72:1,Pass,#29262F,11.72:1,AAA,#073642,#FFFFFF,13.00:1,AAA,1.14:1,Fail,0.406,8355,13.30,115.61,-87.2,4/16,7/16
132,Black Metal (Gorgoroth),58,#000000,#C1C1C1,11.67:1,AAA,#000000,1.00:1,Fail,#5F8787,5.30:1,AA,#9B8D7F,6.51:1,AA,#8C7F70,5.38:1,AA,#888888,5.92:1,AA,#999999,7.37:1,AAA,#AAAAAA,9.04:1,AAA,#C1C1C1,11.67:1,AAA,#404040,2.03:1,Fail,#5F8787,5.30:1,AA,#9B8D7F,6.51:1,AA,#8C7F70,5.38:1,AA,#888888,5.92:1,AA,#999999,7.37:1,AAA,#AAAAAA,9.04:1,AAA,#C1C1C1,11.67:1,AAA,14/16,14/16,6/16,14/16,#C1C1C1,11.67:1,Pass,#8E8E8E,1.82:1,Fail,#C1C1C1,#000000,11.67:1,AAA,11.67:1,Pass,0.333,0,0.00,52.37,-69.2,0/16,2/16
133,Night Lion V2,58,#171717,#BBBBBB,9.34:1,AAA,#4C4C4C,2.09:1,Fail,#BB0000,2.66:1,Fail,#04F623,12.13:1,AAA,#F3F167,15.02:1,AAA,#64D0F0,10.09:1,AAA,#CE6FDB,5.91:1,AA,#00DADF,10.32:1,AAA,#BBBBBB,9.34:1,AAA,#555555,2.40:1,Fail,#FF5555,5.70:1,AA,#7DF71D,12.97:1,AAA,#FFFF55,16.81:1,AAA,#62CBE8,9.58:1,AAA,#FF9BF5,9.61:1,AAA,#00CCD8,9.07:1,AAA,#FFFFFF,17.93:1,AAA,13/16,13/16,11/16,13/16,#BBBBBB,9.34:1,Pass,#FFFFFF,1.92:1,Fail,#B5D5FF,#000000,13.93:1,AAA,11.89:1,Pass,0.333,6503,2.38,79.81,-64.7,5/16,11/16
134,Pnevma,58,#1C1C1C,#D0D0D0,11.05:1,AAA,#2F2E2D,1.26:1,Fail,#A36666,3.77:1,AA-Large,#90A57D,6.38:1,AA,#D7AF87,8.42:1,AAA,#7FA5BD,6.51:1,AA,#C79EC4,7.40:1,AAA,#8ADBB4,10.45:1,AAA,#D0D0D0,11.05:1,AAA,#4A4845,1.87:1,Fail,#D78787,6.25:1,AA,#AFBEA2,8.69:1,AAA,#E4C9AF,10.77:1,AAA,#A1BDCE,8.67:1,AAA,#D7BEDA,9.96:1,AAA,#B1E7DD,12.45:1,AAA,#EFEFEF,14.82:1,AAA,13/16,14/16,10/16,13/16,#E4C9AF,10.77:1,Pass,#000000,13.27:1,AAA,#4D4D4D,#FFFFFF,8.45:1,AAA,2.02:1,Fail,0.333,6503,10.53,91.44,-76.5,4/16,9/16
135,Cobalt Next Dark,58,#0B1C24,#D7DEEA,12.88:1,AAA,#262F37,1.28:1,Fail,#F94967,5.12:1,AA,#8CC98F,9.01:1,AAA,#FFC64C,11.14:1,AAA,#409DD4,5.80:1,AA,#CBA3C7,7.96:1,AAA,#37B5B4,6.99:1,AA,#D7DEEA,12.88:1,AAA,#62747F,3.59:1,AA-Large,#E47E8B,6.35:1,AA,#BADDBB,11.73:1,AAA,#FFDC91,13.18:1,AAA,#7AC0EB,8.76:1,AAA,#F3CCEF,12.19:1,AAA,#84E4E3,11.77:1,AAA,#FFFFFF,17.42:1,AAA,14/16,15/16,10/16,14/16,#FFC64C,11.14:1,Pass,#999999,1.82:1,Fail,#37B5B4,#FFFFFF,2.49:1,Fail,6.99:1,Pass,0.541,17552,13.49,104.87,-84.9,7/16,9/16
136,Ayu Mirage,58,#1F2430,#CCCAC2,9.45:1,AAA,#171B24,1.11:1,Fail,#ED8274,5.95:1,AA,#87D96C,8.99:1,AAA,#FACC6E,10.29:1,AAA,#6DCBFA,8.55:1,AAA,#DABAFA,9.15:1,AAA,#90E1C6,10.18:1,AAA,#C7C7C7,9.18:1,AAA,#686868,2.78:1,Fail,#F28779,6.29:1,AA,#D5FF80,13.63:1,AAA,#FFD173,10.80:1,AAA,#73D0FF,9.01:1,AAA,#DFBFFF,9.63:1,AAA,#95E6CB,10.68:1,AAA,#FFFFFF,15.52:1,AAA,14/16,14/16,12/16,14/16,#FFCC66,10.41:1,Pass,#1F2430,10.41:1,AAA,#409FFF,#1F2430,5.63:1,AA,5.63:1,Pass,0.485,13503,1.76,95.92,-71.6,6/16,12/16
137,Adwaita,58,#FFFFFF,#000000,21.00:1,AAA,#241F31,15.97:1,AAA,#C01C28,6.11:1,AA,#2EC27E,2.30:1,Fail,#E8B504,1.90:1,Fail,#1E78E4,4.32:1,AA-Large,#9841BB,5.51:1,AA,#0AB9DC,2.34:1,Fail,#C0BFBC,1.84:1,Fail,#5E5C64,6.58:1,AA,#ED333B,4.09:1,AA-Large,#4AD67C,1.87:1,Fail,#D2BE36,1.88:1,Fail,#51A1FF,2.66:1,Fail,#C061CB,3.61:1,AA-Large,#4FD2FD,1.75:1,Fail,#F6F5F4,1.09:1,Fail,4/16,7/16,1/16,4/16,#000000,21.00:1,Pass,#FFFFFF,21.00:1,AAA,#C0BFBC,#000000,11.42:1,AAA,1.84:1,Fail,0.333,6503,10.70,119.87,106.0,4/16,7/16
138,Purple Rain,58,#21084A,#FFFBF6,17.01:1,AAA,#000000,1.20:1,Fail,#FF260E,4.62:1,AA,#9BE205,11.08:1,AAA,#FFC400,10.97:1,AAA,#00A2FA,6.30:1,AA,#815BB5,3.42:1,AA-Large,#00DEEF,10.59:1,AAA,#FFFFFF,17.53:1,AAA,#565656,2.39:1,Fail,#FF4250,5.13:1,AA,#B8E36E,11.89:1,AAA,#FFD852,12.68:1,AAA,#00A6FF,6.59:1,AA,#AC7BF0,5.71:1,AA,#74FDF3,14.26:1,AAA,#FFFFFF,17.53:1,AAA,13/16,14/16,8/16,13/16,#FF271D,4.64:1,Pass,#FF9A90,1.85:1,Fail,#287691,#FFFFFF,5.13:1,AA,3.41:1,Pass,0.795,1747,0.00,110.20,-103.8,6/16,8/16
139,Night Owl,58,#011627,#D6DEEB,13.54:1,AAA,#011627,1.00:1,Fail,#EF5350,5.26:1,AA,#22DA6E,9.88:1,AAA,#ADDB67,11.44:1,AAA,#82AAFF,7.98:1,AAA,#C792EA,7.62:1,AAA,#21C7A8,8.56:1,AAA,#FFFFFF,18.33:1,AAA,#575656,2.51:1,Fail,#EF5350,5.26:1,AA,#22DA6E,9.88:1,AAA,#FFEB95,15.34:1,AAA,#82AAFF,7.98:1,AAA,#C792EA,7.62:1,AAA,#7FDBCA,11.25:1,AAA,#FFFFFF,18.33:1,AAA,14/16,14/16,12/16,14/16,#7E57C2,3.52:1,Pass,#FFFFFF,5.21:1,AA,#5F7E97,#DFE5EE,3.37:1,AA-Large,4.29:1,Pass,0.709,25000,0.00,117.65,-85.3,4/16,7/16
140,Operator Mono Dark,58,#191919,#C3CAC2,10.51:1,AAA,#5A5A5A,2.55:1,Fail,#CA372D,3.43:1,AA-Large,#4D7B3A,3.52:1,AA-Large,#D4D697,11.61:1,AAA,#4387CF,4.69:1,AA,#B86CB4,4.89:1,AA,#72D5C6,10.09:1,AAA,#CED4CD,11.66:1,AAA,#9A9B99,6.30:1,AA,#C37D62,5.38:1,AA,#83D0A2,9.64:1,AAA,#FDFDC5,16.77:1,AAA,#89D3F6,10.64:1,AAA,#FF2C7A,4.93:1,AA,#82EADA,12.33:1,AAA,#FDFDF6,17.21:1,AAA,13/16,15/16,8/16,13/16,#FCDC08,12.88:1,Pass,#161616,13.25:1,AAA,#19273B,#DDE5DC,11.70:1,AAA,1.17:1,Fail,0.333,6503,7.28,78.94,-72.1,5/16,8/16
141,Sublette,58,#202535,#CCCED0,9.66:1,AAA,#253045,1.15:1,Fail,#EE5577,4.50:1,AA,#55EE77,10.08:1,AAA,#FFDD88,11.58:1,AAA,#5588FF,4.61:1,AA,#FF77CC,6.36:1,AA,#44EEEE,10.68:1,AAA,#F5F5DA,13.76:1,AAA,#405570,2.00:1,Fail,#EE6655,4.84:1,AA,#99EE77,10.78:1,AAA,#FFFF77,14.39:1,AAA,#77BBFF,7.50:1,AAA,#AA88FF,5.57:1,AA,#55FFBB,11.91:1,AAA,#FFFFEE,15.09:1,AAA,14/16,14/16,9/16,14/16,#CCCED0,9.66:1,Pass,#202535,9.66:1,AAA,#CCCED0,#202535,9.66:1,AAA,9.66:1,Pass,0.519,18003,6.34,132.20,-73.7,8/16,9/16
